#    L    TT             EE             BB             TE          
   359   0.228975E+04   0.192071E+02   0.387888E-01   0.761637E+02
   360   0.226789E+04   0.193328E+02   0.389114E-01   0.745228E+02
   361   0.224644E+04   0.194555E+02   0.390341E-01   0.728599E+02
   362   0.222539E+04   0.195754E+02   0.391567E-01   0.711769E+02
   363   0.220476E+04   0.196922E+02   0.392794E-01   0.694742E+02
   364   0.218454E+04   0.198060E+02   0.394021E-01   0.677526E+02
   365   0.216474E+04   0.199167E+02   0.395248E-01   0.660130E+02
   366   0.214536E+04   0.200242E+02   0.396476E-01   0.642560E+02
   367   0.212641E+04   0.201286E+02   0.397706E-01   0.624823E+02
   368   0.210789E+04   0.202296E+02   0.398936E-01   0.606930E+02
   369   0.208980E+04   0.203275E+02   0.400168E-01   0.588886E+02
   370   0.207214E+04   0.204219E+02   0.401402E-01   0.570698E+02
   371   0.205491E+04   0.205131E+02   0.402637E-01   0.552376E+02
   372   0.203813E+04   0.206008E+02   0.403875E-01   0.533926E+02
   373   0.202178E+04   0.206850E+02   0.405115E-01   0.515355E+02
   374   0.200587E+04   0.207659E+02   0.406357E-01   0.496673E+02
   375   0.199039E+04   0.208431E+02   0.407602E-01   0.477885E+02
   376   0.197535E+04   0.209168E+02   0.408851E-01   0.458999E+02
   377   0.196076E+04   0.209869E+02   0.410102E-01   0.440024E+02
   378   0.194661E+04   0.210534E+02   0.411356E-01   0.420964E+02
   379   0.193290E+04   0.211160E+02   0.412615E-01   0.401830E+02
   380   0.191965E+04   0.211750E+02   0.413877E-01   0.382628E+02
   381   0.190683E+04   0.212302E+02   0.415143E-01   0.363365E+02
   382   0.189446E+04   0.212814E+02   0.416413E-01   0.344049E+02
   383   0.188253E+04   0.213289E+02   0.417687E-01   0.324688E+02
   384   0.187105E+04   0.213726E+02   0.418966E-01   0.305290E+02
   385   0.186001E+04   0.214123E+02   0.420250E-01   0.285864E+02
   386   0.184941E+04   0.214482E+02   0.421539E-01   0.266418E+02
   387   0.183927E+04   0.214803E+02   0.422833E-01   0.246961E+02
